,0,1,2,3,4,5
52,2, 72.2 , 16,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_72.2_m_1617_et._1911865245,7600000,3
53,1, 37 , 7,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_37_m_710_et._1872232171,3690000,2
54,4, 121.4 , 4,https://www.avito.ru/kazan/kvartiry/4-k_kvartira_121.4_m_410_et._1836048677,8150000,2 
55,3, 81.5 , 2,https://www.avito.ru/kazan/kvartiry/3-k_kvartira_81.5_m_29_et._1772070686,5200000,1 
56,3, 68 , 4,https://www.avito.ru/kazan/kvartiry/3-k_kvartira_68_m_49_et._1946010038,4700000,2
57,3, 79 , 3,https://www.avito.ru/kazan/kvartiry/3-k_kvartira_79_m_35_et._1892098320,5904500,2 
58,3, 61 , 1,https://www.avito.ru/kazan/kvartiry/3-k_kvartira_61_m_110_et._1926455086,4850000,3 
59,2, 51.6 , 13,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_51.6_m_1319_et._1923245278,4500000,2
60,0.5, 13 , 3,https://www.avito.ru/kazan/kvartiry/studiya_13_m_35_et._1899356509,1220000,1 
61,1, 45.1 , 5,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_45.1_m_518_et._1854818894,3740000,2 
62,1, 33.5 , 1,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_33.5_m_112_et._1916093703,2914500,2 
63,1, 31 , 5,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_31_m_518_et._1765728287,3300000,3 
64,3, 75 , 17,https://www.avito.ru/kazan/kvartiry/3-k_kvartira_75_m_1719_et._1916059708,4648760,2
65,1, 29 , 1,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_29_m_19_et._1864767060,2300000,1 
66,2, 76.9 , 5,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_76.9_m_55_et._1924721502,5550000,1
67,2, 42 , 9,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_42_m_910_et._1917625729,3950000,3
68,1, 16 , 6,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_16_m_69_et._1887728451,1540000,2 
69,1, 49 , 9,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_49_m_916_et._1824532070,3690000,1
70,3, 68 , 4,https://www.avito.ru/kazan/kvartiry/3-k_kvartira_68_m_417_et._1940256280,10200000,3
71,2, 43.8 , 1,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_43.8_m_15_et._1947136483,3299000,3 
72,2, 63 , 2,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_63_m_218_et._1831791727,3490000,1
73,1, 46 , 8,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_46_m_823_et._1866187718,5100000,3 
74,1, 29 , 5,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_29_m_55_et._1896589969,2133000,1 
75,1, 47 , 5,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_47_m_510_et._1883747897,5330000,3
76,2, 51.8 , 6,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_51.8_m_625_et._1897011277,5350000,3
77,3, 55 , 1,https://www.avito.ru/kazan/kvartiry/3-k_kvartira_55_m_15_et._1941114185,3300000,2
78,2, 30 , 4,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_30_m_45_et._1845578017,1600000,2
79,2, 69.2 , 3,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_69.2_m_310_et._1936091788,6500000,2 
80,0.5, 34.4 , 16,https://www.avito.ru/kazan/kvartiry/studiya_34.4_m_1623_et._1452166173,3290000,3
81,1, 15 , 1,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_15_m_19_et._1877421659,1400000,3
82,1, 15 , 3,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_15_m_35_et._1907158080,1400000,1 
83,2, 50.7 , 1,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_50.7_m_15_et._1891752350,6330000,3 
84,1, 33.7 , 1,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_33.7_m_19_et._1938534679,2099999,1 
85,1, 35 , 9,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_35_m_910_et._1889102482,3700000,2
86,1, 46 , 7,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_46_m_77_et._1916906269,5990000,3 
87,2, 51.1 , 14,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_51.1_m_1419_et._1463481346,3500000,1
88,4, 138 , 3,https://www.avito.ru/kazan/kvartiry/4-k_kvartira_138_m_310_et._1905950830,10800000,2
89,1, 25 , 1,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_25_m_113_et._1921106907,2000000,3 
90,2, 44 , 1,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_44_m_15_et._1894331065,3350000,3
91,2, 56 , 9,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_56_m_910_et._1931689407,3790000,1
92,3, 156.1 , 5,https://www.avito.ru/kazan/kvartiry/3-k_kvartira_156.1_m_56_et._1899170701,9800000,3
93,1, 37 , 10,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_37_m_1011_et._413254498,3450000,1
94,1, 39 , 6,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_39_m_69_et._1846149863,2950000,1
95,1, 31.5 , 5,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_31.5_m_55_et._1887375436,2690000,1
96,1, 35.5 , 2,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_35.5_m_29_et._1895426768,3270000,2
97,2, 60 , 14,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_60_m_1425_et._1910019388,5200000,3 
98,2, 58 , 22,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_58_m_2226_et._1910036894,5200000,3 
99,1, 30.9 , 5,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_30.9_m_55_et._1895061956,2490000,2 
100,1, 29 , 5,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_29_m_55_et._1896589969,2133000,1 
101,1, 46 , 7,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_46_m_77_et._1916906269,5990000,3 
102,1, 33.7 , 1,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_33.7_m_19_et._1938534679,2099999,1 
103,1, 18.7 , 3,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_18.7_m_35_et._1898764381,1710000,3
104,1, 22.1 , 2,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_22.1_m_23_et._1784339158,1600000,2
105,2, 49 , 1,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_49_m_11_et._1934581837,2099999,2 
106,1, 30.3 , 3,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_30.3_m_33_et._1879754741,2050000,2
107,1, 55.7 , 17,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_55.7_m_1722_et._1858925247,6280000,3 
108,2, 83 , 6,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_83_m_618_et._1930782167,5649000,3
109,1, 30.5 , 1,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_30.5_m_12_et._1945399873,2198000,2 
110,1, 30 , 4,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_30_m_45_et._1929111969,2950000,2 
111,3, 70 , 2,https://www.avito.ru/kazan/kvartiry/3-k_kvartira_70_m_210_et._1924426400,5570000,2
112,1, 34.2 , 4,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_34.2_m_45_et._1908760609,3500000,1 
113,3, 72.5 , 5,https://www.avito.ru/kazan/kvartiry/3-k_kvartira_72.5_m_59_et._1939621541,5500000,2 
114,4, 66 , 5,https://www.avito.ru/kazan/kvartiry/4-k_kvartira_66_m_55_et._1938930223,4160000,2
115,3, 97 , 4,https://www.avito.ru/kazan/kvartiry/3-k_kvartira_97_m_412_et._1913835896,9100000,3 
116,1, 30 , 16,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_30_m_1619_et._1909709077,2880000,2
117,5, 155 , 3,https://www.avito.ru/kazan/kvartiry/5-k_kvartira_155_m_35_et._1936891109,14500000,3 
118,2, 80 , 5,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_80_m_510_et._828978108,7500000,3 
119,1, 30.3 , 16,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_30.3_m_1620_et._1860383124,2710000,2
120,1, 33 , 1,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_33_m_19_et._1942313296,3150000,2 
121,2, 46 , 3,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_46_m_35_et._1929503449,3400000,3 
122,2, 68 , 7,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_68_m_719_et._1828197198,6200000,3 
123,1, 27 , 11,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_27_m_1112_et._1827833883,2800000,1 
124,2, 51 , 8,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_51_m_89_et._1942587113,3999000,3
125,3, 96 , 10,https://www.avito.ru/kazan/kvartiry/3-k_kvartira_96_m_1014_et._1920934844,7000000,2
126,1, 45 , 6,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_45_m_610_et._1863477960,4500000,2 
127,2, 56 , 2,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_56_m_219_et._1899520802,5160000,2
128,2, 48 , 2,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_48_m_23_et._1895011650,2880000,1
129,1, 31.1 , 6,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_31.1_m_69_et._1937302934,2620000,2 
130,1, 36 , 11,https://www.avito.ru/kazan/kvartiry/1-k_kvartira_36_m_1120_et._1921450123,2300000,1
131,3, 62 , 1,https://www.avito.ru/kazan/kvartiry/3-k_kvartira_62_m_15_et._1919256881,2690000,1
132,2, 61 , 13,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_61_m_1318_et._1936915542,10690000,3
133,2, 62 , 4,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_62_m_417_et._1904183154,6950000,3
134,2, 40 , 14,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_40_m_1416_et._1894025920,4600000,2 
135,0.5, 20 , 1,https://www.avito.ru/kazan/kvartiry/studiya_20_m_19_et._1927760280,1330000,2 
136,2, 61 , 16,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_61_m_1618_et._1915145933,6500000,3 
137,3, 99 , 2,https://www.avito.ru/kazan/kvartiry/3-k_kvartira_99_m_25_et._1947193974,6250000,2 
138,2, 46 , 12,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_46_m_1219_et._1943972421,4500000,2
139,2, 56 , 1,https://www.avito.ru/kazan/kvartiry/2-k_kvartira_56_m_13_et._1947348633,4300000,2
