"1; 43.5 ; 9";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_43.5_m_99_et._1893865922;4300000;3
"1; 56 ; 5";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_56_m_58_et._1888455794;5200000;3 
"1; 34 ; 1";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_34_m_19_et._1918259486;1999999;1
"1; 42 ; 18";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_42_m_1819_et._1798823378;3590000;2 
"2; 50 ; 4";https://www.avito.ru/kazan/kvartiry/2-k_kvartira_50_m_44_et._1930781154;3570000;1
"1; 35.2 ; 2";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_35.2_m_23_et._1848803791;2250000;2
"1; 33 ; 4";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_33_m_45_et._1944505030;1900000;1
"5; 101.2 ; 6";https://www.avito.ru/kazan/kvartiry/5-k_kvartira_101.2_m_610_et._1943202364;5200000;2 
"1; 49 ; 2";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_49_m_210_et._1921424857;4450000;2 
"2; 42.9 ; 5";https://www.avito.ru/kazan/kvartiry/2-k_kvartira_42.9_m_55_et._1915250775;3350000;2 
"1; 31.3 ; 15";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_31.3_m_1519_et._1848842004;2800000;2
"1; 46 ; 4";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_46_m_44_et._1887343842;3300000;1
"2; 65.4 ; 14";https://www.avito.ru/kazan/kvartiry/2-k_kvartira_65.4_m_1419_et._1912189726;6500000;3 
"0.5; 32 ; 5";https://www.avito.ru/kazan/kvartiry/studiya_32_m_519_et._1887906867;3000000;2
"0.5; 19 ; 3";https://www.avito.ru/kazan/kvartiry/studiya_19_m_34_et._1870840108;900000;1
"1; 35 ; 9";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_35_m_910_et._1887589643;2800000;2
"2; 55 ; 9";https://www.avito.ru/kazan/kvartiry/2-k_kvartira_55_m_910_et._1945796784;4270000;3
"1; 32 ; 1";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_32_m_19_et._1895621331;2780000;3 
"1; 34 ; 1";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_34_m_110_et._1853170000;2980000;2
"3; 65 ; 2";https://www.avito.ru/kazan/kvartiry/3-k_kvartira_65_m_210_et._1821032429;4590000;1 
"3; 92.5 ; 7";https://www.avito.ru/kazan/kvartiry/3-k_kvartira_92.5_m_715_et._1943334427;7300000;3
"3; 73.1 ; 16";https://www.avito.ru/kazan/kvartiry/3-k_kvartira_73.1_m_1619_et._1916135912;4529720;2
"1; 31 ; 14";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_31_m_1419_et._1940022169;2446000;2
"1; 43 ; 11";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_43_m_1118_et._1927334921;2700000;1
"2; 54 ; 5";https://www.avito.ru/kazan/kvartiry/2-k_kvartira_54_m_519_et._1927392240;4450000;2
"2; 87.7 ; 18";https://www.avito.ru/kazan/kvartiry/2-k_kvartira_87.7_m_1820_et._923739843;8686000;3
"1; 28 ; 6";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_28_m_67_et._1927314376;2520000;1 
"1; 33 ; 8";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_33_m_89_et._1906506997;2690000;2 
"2; 53 ; 16";https://www.avito.ru/kazan/kvartiry/2-k_kvartira_53_m_1617_et._1871872920;6990000;3 
"1; 31 ; 16";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_31_m_1619_et._1940178114;2446000;2
"1; 30.4 ; 21";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_30.4_m_2122_et._1920693278;3452509;2
"1; 35.5 ; 19";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_35.5_m_1924_et._1895363985;3440000;2
"1; 31 ; 13";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_31_m_1319_et._1940390267;2446000;2
"2; 73 ; 8";https://www.avito.ru/kazan/kvartiry/2-k_kvartira_73_m_810_et._1939091466;6935000;3
"3; 68 ; 9";https://www.avito.ru/kazan/kvartiry/3-k_kvartira_68_m_99_et._1939753785;4250000;3
"1; 39 ; 7";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_39_m_710_et._1934484658;2360000;1
"1; 32 ; 5";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_32_m_55_et._1919552142;2680000;2 
"1; 28 ; 4";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_28_m_49_et._1878491279;2870000;2
"2; 52 ; 9";https://www.avito.ru/kazan/kvartiry/2-k_kvartira_52_m_910_et._1939501300;3900000;2
"1; 41.3 ; 4";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_41.3_m_45_et._1909993442;4000000;2
"2; 62.3 ; 16";https://www.avito.ru/kazan/kvartiry/2-k_kvartira_62.3_m_1618_et._1918343216;6350000;3 
"2; 43 ; 5";https://www.avito.ru/kazan/kvartiry/2-k_kvartira_43_m_510_et._1946022884;3320000;2
"2; 43 ; 13";https://www.avito.ru/kazan/kvartiry/2-k_kvartira_43_m_1314_et._1947585948;3690000;3
"3; 120 ; 5";https://www.avito.ru/kazan/kvartiry/3-k_kvartira_120_m_57_et._1905495858;10500000;3
"2; 86 ; 1";https://www.avito.ru/kazan/kvartiry/2-k_kvartira_86_m_11_et._1883810663;999000;2
"4; 109 ; 6";https://www.avito.ru/kazan/kvartiry/4-k_kvartira_109_m_66_et._1917060600;6800000;2
"2; 54.3 ; 7";https://www.avito.ru/kazan/kvartiry/2-k_kvartira_54.3_m_719_et._1932393311;3122000;2
"2; 48 ; 1";https://www.avito.ru/kazan/kvartiry/2-k_kvartira_48_m_15_et._1919675857;2750000;2
"0.5; 17 ; 1";https://www.avito.ru/kazan/kvartiry/studiya_17_m_12_et._1938962229;800000;1
"2; 51 ; 9";https://www.avito.ru/kazan/kvartiry/2-k_kvartira_51_m_919_et._1946370010;2899999;2
"2; 45.8 ; 1";https://www.avito.ru/kazan/kvartiry/2-k_kvartira_45.8_m_15_et._1937693326;2900000;2
"2; 45.7 ; 4";https://www.avito.ru/kazan/kvartiry/2-k_kvartira_45.7_m_45_et._1895043644;3350000;3 
"1; 31 ; 2";https://www.avito.ru/kazan/kvartiry/1-k_kvartira_31_m_29_et._1918992360;2970000;2
